"May 1, 2024","May 2, 2024","May 3, 2024","May 4, 2024","May 5, 2024","May 6, 2024","May 7, 2024","May 8, 2024","May 9, 2024","May 10, 2024","May 11, 2024","May 12, 2024","May 13, 2024","May 14, 2024","May 15, 2024","May 16, 2024","May 17, 2024","May 18, 2024","May 19, 2024","May 20, 2024","May 21, 2024","May 22, 2024","May 23, 2024","May 24, 2024","May 25, 2024","May 26, 2024","May 27, 2024","May 28, 2024","May 29, 2024","May 30, 2024","May 31, 2024"
21.20252588738967,24.338933380770204,26.490243259213496,26.217512665060116,27.207825798605516,24.972327468919413,24.481427413709774,22.052501117184697,21.505542428847658,26.924723909328986,26.853461196591386,23.521209029764435,23.27291645104959,20.96436790532266,22.80882009054131,23.141850564233483,20.217863855451778,21.299816841066715,23.664043287968962,25.7178156364413,24.453965070825653,29.30141023330112,20.179230055116253,29.68768087016941,24.026668440850603,29.919941990363135,28.681631859128977,21.046046904842648,26.244618336948257,20.53000524952753,27.358315696725818
24.24770461856165,21.710761071806274,29.597476863904667,28.356216455082297,24.140818591541894,25.55069464422944,21.86794808567204,21.29701610087028,20.186209203009692,21.636393258329335,28.302174115662893,28.771704344974584,23.235532617253163,29.480977686696782,26.865394728483043,25.733972784617137,23.7181803941707,25.05946588553936,26.080977453043126,22.193495922925035,29.582734008346705,26.315707697351755,20.83648396263474,20.50839419497423,20.54558377468598,22.42852918209789,22.04349613684208,29.233152400954864,21.27589831186885,20.52506303248731,21.807229079556343
29.163366721954638,24.84249650914608,20.90202970949031,23.210440889853086,25.67650931720562,22.17932170361701,22.872417337568564,22.328781841737822,28.37943444784603,22.74197972369936,29.994974921266092,27.20263544784781,20.3903264417509,20.59426480592105,26.933949258735517,22.35947349720112,21.894855456719817,23.93871987116477,24.81418034589204,25.54099002944229,20.835347693274787,27.7966955047751,26.950178432867986,21.480932858774786,21.362222441943636,27.22902816401117,20.542165565798012,21.75730133074899,22.731824731754504,29.209440338919993,25.518785208993776
28.475022728824595,25.566482839266815,23.31467793639745,29.222119316342713,26.921221799095573,20.022570305229532,21.40640881645179,29.146447759907897,22.61392677943982,24.756515505267487,20.12519792008109,24.071556523711052,24.498566999541204,27.89479076667166,22.801209049340486,23.38723776917794,29.64358427203466,22.25884824728313,29.791313031382593,29.750059879539982,29.86226819294975,27.563231972324758,24.398839482349647,22.742446837112652,22.048978483973126,21.497113164867862,22.123615521297666,25.908478757206318,20.824970765043638,23.215018494150407,28.297794828079475
24.114250475612888,27.404758038780876,21.304670298306036,24.14112277283051,27.80056270504942,25.929722808849746,25.01111375138422,25.492721505636673,23.732621590667552,20.109292140719315,27.554059436589732,26.454271498935952,27.14066554970801,21.291886945216643,28.167742646724882,22.809281285775075,25.8515421829242,26.435985273556124,22.052123899921362,21.165307743140744,25.05403652684551,20.31826391678444,24.642062874969845,20.004916201242786,25.742427594574444,27.986698181509162,26.739247053316955,22.105477734301154,29.672745763772152,20.010400232759306,28.83877763966369
29.124085429564303,25.28716288833101,25.238109994887516,29.782499686853104,27.591414299998732,20.22542437434783,22.419270374544798,21.27208162010557,24.46212756205968,29.192104772409323,22.381870357049202,21.195721600814448,22.07725890078981,20.120772275446097,28.993224464017427,26.691697393870268,20.929767892789968,23.66746922290751,27.65583196096307,27.634994618769362,22.9060093054375,21.069752441940995,26.037368111178907,22.33961887428029,25.56539433781032,23.472835086527976,20.300731080792527,25.1253704363524,28.017352012253518,23.71086398776091,23.439445094182883
21.79865891959687,24.386044884094012,29.7063753534803,23.307112940906308,28.550381311954503,24.964313060851342,27.794004340942767,26.510426621484015,20.4777841987974,27.950850751787932,23.052167164560608,28.386222388069946,22.24018781789322,24.94673557310964,26.614594446437472,26.54178837733682,25.557662203589565,22.040051677952157,28.951615407822036,29.05512508970294,27.18552584661662,28.9450128487109,29.51224679530381,25.951405615664665,25.913928794083205,23.048748756107553,25.851241542534716,21.233567768031076,28.083766171405962,29.466443816870047,21.24476691967086
22.651583043036663,22.067218072034322,20.17204170916821,23.488521955309544,23.847806400427768,20.82245912605036,24.126943924781546,27.419833522406332,20.57331250154109,23.236975278114496,22.884240524446295,21.905839741940042,28.35907240222192,25.90123410498438,26.736175907386833,21.300788317085072,21.35077949105222,27.31218529825858,28.64027928668581,27.533835810354237,24.530119976285448,25.67204740502283,20.665570373186107,23.778657078904146,27.288410753772286,25.00019376357192,29.290130584739245,23.320573482770264,21.046174254670234,21.42640364392126,20.432413527440758
24.639253560099377,28.80741687010112,26.362355558549794,21.897089768474217,22.741674567847042,28.061378967505025,26.234311102474464,20.19678000298696,21.482442922097924,28.176090200729895,22.56495447415532,29.11299858584089,21.267116515202886,20.734953797985025,26.88996793523627,26.67318190085661,21.305474818404175,29.680957546880173,24.708795303227337,27.069514113047692,25.899308641143453,21.859366820306253,24.36044317308611,24.224368608135265,24.486047039145888,25.219060349949437,26.45463668585443,20.106455913796047,25.26974350309506,23.918911510092546,27.135160434714955
26.572847503649925,24.87839392233964,29.08393462453438,20.571814574294294,24.489712423936293,24.897171485188096,27.477362704311606,21.35244459483682,29.349553690762953,24.614102038239878,22.611465075282464,25.50714874247123,22.46515928866363,25.47479105634749,20.9399863185677,25.694825755426322,22.7832449489518,20.317646273140717,23.110376120264725,21.407519026536388,27.612014537596117,27.056358999404285,21.1908631271496,29.292937779350005,22.314375658023515,21.76258840717084,26.98436092264569,26.28868745694189,21.251293862921127,27.0894227520214,27.356115509474055
26.519053103033258,22.520375182735858,24.562251148597397,20.0728520904665,26.4716408110713,29.262536561588234,23.36540096303566,27.600732599188152,26.162132839541727,27.379658521069857,27.931759256377436,28.880194633027635,27.92029138676114,22.364904599365243,23.370167394287098,22.378559301452682,29.64507558187215,20.687049398752336,28.800154153331626,23.557164248431736,21.37555961903177,23.438292607463133,23.396131448122276,28.491121954803752,20.907021579871984,27.427805381196563,26.820266209849724,21.779556779608164,28.539962880132155,26.598257155264093,29.380846077238363
22.007062576663003,21.740424533354275,25.173877501988827,26.95025104215717,28.197749420165593,21.376034516587488,26.59982761626156,28.252453858861614,23.28093862355294,23.83457849335441,21.591133727140406,20.202125588666455,21.23402928561659,27.528729266846767,22.82380595237212,23.198453107560958,29.531910327242713,22.776393457744945,25.86721712074977,27.746759801005027,23.709518503299417,22.274578124490134,24.436876018082376,21.17002503440552,23.475708116602686,21.70236068353813,24.46936079951282,27.619813647945296,27.8329844674424,26.648908414301676,22.045268938106545
27.021193090911645,24.344062773809846,25.53597663014868,26.37212125230598,21.683860653673218,23.431261745751623,20.836058653820036,20.240348064599097,25.23171061169993,21.498803589947933,23.603296491238822,27.93291216000131,20.373824027076164,26.71744987383823,25.615121407562153,29.529352508029447,29.18627696169834,29.613671178724235,27.60521929912865,23.18333153241645,23.331873977447785,26.410048046299863,20.020994724726975,28.727593838192192,22.25549216716013,26.453645522608582,20.25671844408931,20.367301237867014,28.848284029857815,28.32027416080184,26.62746711222367
